,total,0,10,15,20,25,30,35,40,45,50,60,75,100,125,150,200,ZIP,year,State,CountyName,rent0,rent1,rent2,rent3,rent4
133,18153,3717,2077,1437,1371,788,610,763,943,537,1235,1263,1124,809,501,686,292,11224,2014,36,Kings County,790,830,980,1270,1500
134,22790,2165,1567,1620,1214,1435,1192,1153,1433,859,1873,2424,2557,1285,836,533,644,11225,2014,36,Kings County,950,1000,1180,1530,1810
135,35998,4077,2287,2424,1948,2036,2224,1917,2168,1348,3172,3900,3622,1983,1257,1086,549,11226,2014,36,Kings County,1000,1050,1240,1610,1900
136,15244,684,727,964,686,543,648,615,578,475,1380,1336,1822,1313,1211,1167,1095,11228,2014,36,Kings County,1120,1170,1390,1810,2130
137,30987,2639,2160,1557,2060,1383,1193,1551,1194,1165,2376,2956,3334,2639,1804,1490,1486,11229,2014,36,Kings County,1010,1050,1250,1630,1920
138,30228,3732,2474,2146,1725,1452,1712,1418,1213,950,1784,2736,3027,1810,1170,1370,1509,11230,2014,36,Kings County,1070,1120,1330,1730,2040
139,15275,1747,636,432,532,462,425,416,417,270,746,980,1620,1485,1068,1597,2442,11231,2014,36,Kings County,1590,1660,1970,2560,3020
140,8700,643,445,544,597,648,516,566,420,452,756,774,1029,582,306,221,201,11232,2014,36,Kings County,1130,1180,1400,1820,2150
141,26412,4521,2584,1996,1617,1292,1320,1263,1336,995,1781,2184,2050,1540,794,719,420,11233,2014,36,Kings County,1000,1050,1240,1610,1900
142,32314,1769,991,1293,1267,1214,1638,1299,1474,1049,2262,3492,4263,3429,2316,2763,1795,11234,2014,36,Kings County,1180,1230,1460,1900,2240
143,32104,5137,2621,1587,1706,1697,1629,1035,1087,797,1844,2601,3214,2652,1531,1413,1553,11235,2014,36,Kings County,1030,1080,1280,1660,1960
144,31920,2623,1231,1359,1121,1325,1479,1445,1625,1239,2484,3365,4731,2953,1773,2147,1020,11236,2014,36,Kings County,1150,1200,1420,1850,2180
145,16683,2121,927,1141,1063,789,1089,882,804,903,1106,1559,1764,1046,600,624,265,11237,2014,36,Kings County,1060,1100,1310,1700,2010
146,22943,1568,1007,1137,995,515,815,967,777,805,1490,1925,3460,2181,1835,1833,1633,11238,2014,36,Kings County,1220,1270,1510,1960,2310
147,6355,1235,1015,355,402,321,197,288,440,472,339,668,336,146,55,28,58,11239,2014,36,Kings County,1010,1050,1250,1630,1920
