,bath,bed,furnished,price,size,street,where
233,1 bath,2 beds,0,"$3,250","1,000 ft²",210 North 7th Street #1,Williamsburg
234,1 bath,,0,"$2,000",,260 Saint James Place #4A,
235,1 bath,3 beds,0,"$2,975",,219 13th Street #27,Park Slope
236,1 bath,2 beds,0,"$2,550",,219 13th Street #11,Park Slope
237,1 bath,1 bed,0,"$2,700",750 ft²,450 6th Street #1,Park Slope
238,1.5 baths,2 beds,0,"$3,999",,691 Marcy Avenue #1C,Bedford-Stuyvesant
239,1 bath,3 beds,0,"$2,362",,684 Central Avenue #3,Bushwick
240,1 bath,3 beds,0,"$2,700","1,000 ft²",135 E 49th Street #1,
241,1 bath,2 beds,0,"$3,695",,150 Prospect Park W #6B,Park Slope
242,2.5 baths,3 beds,0,"$12,000","2,350 ft²",232 Adelphi Street CATHEDRAL,Fort Greene
243,3 baths,3 beds,0,"$6,400","1,612 ft²",150 Myrtle Avenue #PH3606,
244,1 bath,2 beds,0,"$2,050",,55 Linden Boulevard #6J,
245,1 bath,1 bed,0,"$2,000",,146 Huron Street #1,Greenpoint
246,1 bath,1 bed,0,"$1,900",900 ft²,445 73rd Street #2,Bay Ridge
247,1 bath,2 beds,0,"$2,325",,467 17th Street #4R,Park Slope
248,1 bath,1 bed,0,"$1,995",,181 Prospect Park West,Park Slope
249,1 bath,1 bed,0,"$1,950",,911 8th Avenue #4B,Park Slope
250,1.5 baths,2.5 beds,0,"$2,700",,108 Eldert Street #1,Bushwick
251,1 bath,4 beds,0,"$3,400",,108 Eldert Street #2,Bushwick
252,1 bath,1 bed,0,"$1,846",653 ft²,58 Linden Boulevard #6F,
253,4 baths,4 beds,0,"$4,000",,2715 Farragut Rd #2,
254,1 bath,2 beds,0,"$1,950",,221 Linden #25B,
255,1 bath,3 beds,0,"$2,350",,221 Linden #20B,
256,1 bath,2 beds,0,"$1,950",,221 Linden #20F,
257,2 baths,4 beds,0,"$3,700",,88 Livingston Street #8A,
258,1 bath,2 beds,0,"$2,500",,121 Woodbine Street #1R,Bushwick
259,1 bath,2 beds,0,"$3,000",,1685 11th Avenue #2,
260,1 bath,,0,"$2,199",700 ft²,1236 Atlantic Avenue #27,
261,1 bath,2 beds,0,"$2,900",,473 Park Place #5A,
262,1 bath,1 bed,0,"$2,350",,473 Park Place #6B,
263,1 bath,1 bed,0,"$2,350",,473 Park Place #5B,
264,1 bath,3 beds,0,"$2,400",,221 Linden #16E,
265,1 bath,1 bed,0,"$1,650",,221 Linden #24F,
266,1 bath,1 bed,0,"$3,278",,50 North 5th Street #2PE,Williamsburg
267,1 bath,1 bed,0,"$2,295",,22 Polhemus Place #1,Park Slope
268,1 bath,1 bed,0,"$1,600",,221 Linden #5B,
269,2 baths,2 beds,0,"$6,260",,223 North 8th Street #N2H1,Williamsburg
270,1 bath,1.5 beds,0,"$2,200",,1065 Broadway #12,Bushwick
271,1 bath,1 bed,0,"$3,000",800 ft²,53 Java Street #1A,Greenpoint
272,1 bath,1 bed,0,"$2,250",,87 Hicks Street #4B,Brooklyn Heights
273,1 bath,1 bed,0,"$2,650",,1078 Fulton Street #8A,Bedford-Stuyvesant
274,1 bath,1 bed,0,"$1,995",475 ft²,179  Prospect Park West #11,Park Slope
275,1 bath,1 bed,0,"$2,540",,544 Manhattan Avenue #4D,Greenpoint
276,1 bath,3 beds,0,"$2,950",,386 Prospect Place #1L,Prospect Heights
277,1 bath,2 beds,0,"$2,200",,163 Ocean Avenue #K2,
278,1 bath,1 bed,0,"$1,795",,186 27th Street #2F,
279,1 bath,1 bed,0,"$1,600",,579 61st Street #4P,Sunset Park
280,1.5 baths,2 beds,0,"$3,860",900 ft²,878 Metropolitan Avenue #PH,
281,1 bath,1 bed,0,"$3,314",,461 Dean Street #17H,Prospect Heights
282,1 bath,2 beds,0,"$4,000",,310 Carlton Avenue #2,Fort Greene
283,1 bath,1 bed,0,"$3,025",518 ft²,180 Montague Street #11E,Brooklyn Heights
284,1 bath,1 bed,0,"$3,200",,462 Keap Street #3A,Williamsburg
285,1 bath,2 beds,0,"$2,950",,414 Adelphi #2L,Fort Greene
286,1 bath,2.5 beds,0,"$2,100",,29 Vernon Avenue #2,Bedford-Stuyvesant
287,1 bath,1 bed,0,"$1,850",,29 Vernon Avenue #1,Bedford-Stuyvesant
288,2 baths,3 beds,0,"$3,400",,191 Clermont Avenue #4,Fort Greene
