	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
168	40.726078033447266	-73.9497299194336	0018-01-12T13:24:31.000	0018-01-12T13:18:34.000	40.71828079223633	-73.95549774169922	1.2	0.84
173	40.6815299987793	-73.95853424072266	0025-01-05T01:44:32.000	0025-01-05T01:25:47.000	40.70537185668945	-73.92716217041016	0.0	3.57
175	40.71409606933594	-73.94922637939453	0020-01-12T22:03:20.000	0020-01-12T22:01:19.000	40.7144775390625	-73.9447021484375	0.0	0.18
180	40.671653747558594	-73.9908676147461	0017-01-10T02:06:16.000	0017-01-10T01:54:31.000	40.69312286376953	-73.96912384033203	0.0	2.4
184	40.68659210205078	-73.97496032714844	0023-01-11T15:06:05.000	0023-01-11T14:52:26.000	40.67995071411133	-73.9405288696289	0.0	1.88
185	40.68312072753906	-73.97412109375	0010-01-05T12:56:17.000	0010-01-05T12:47:04.000	40.68642807006836	-73.95452117919922	2.25	1.99
186	40.718841552734375	-73.98509979248047	0014-01-11T22:47:10.000	0014-01-11T22:32:52.000	40.707801818847656	-73.961181640625	0.0	2.22
187	40.63818359375	-73.95332336425781	0016-01-07T21:03:14.000	0016-01-07T20:48:32.000	40.65610122680664	-73.97720336914062	0.0	2.86
188	40.7350959777832	-73.95564270019531	0014-01-03T16:29:52.000	0014-01-03T16:23:57.000	40.71790313720703	-73.95764923095703	0.0	1.31
189	40.65053176879883	-73.9587631225586	0015-01-07T13:22:39.000	0015-01-07T13:07:49.000	40.687713623046875	-73.9802017211914	3.35	2.8
191	40.70173263549805	-73.92877960205078	0014-01-07T00:57:15.000	0014-01-07T00:43:24.000	40.728614807128906	-73.95890045166016	0.0	3.23
192	40.68039321899414	-73.97246551513672	0016-01-05T14:58:38.000	0016-01-05T14:44:16.000	40.69314956665039	-73.96905517578125	2.0	1.2
193	40.642208099365234	-73.98033142089844	0029-01-04T22:45:53.000	0029-01-04T22:38:34.000	40.637245178222656	-73.99874877929688	0.0	1.8
196	40.695220947265625	-73.96437072753906	0006-01-09T21:52:23.000	0006-01-09T21:44:20.000	40.7029914855957	-73.99444580078125	1.5	1.96
198	40.6343994140625	-74.02348327636719	0001-01-05T23:17:29.000	0001-01-05T22:49:41.000	40.68968200683594	-73.99214935302734	0.0	7.67
199	40.6735954284668	-73.98271942138672	0030-01-05T19:47:18.000	0030-01-05T19:42:20.000	40.67934799194336	-73.99553680419922	0.0	1.05
203	40.7188606262207	-73.94518280029297	0027-01-10T07:31:59.000	0027-01-10T07:23:52.000	40.73469924926758	-73.95838928222656	2.0	1.51
206	40.67365264892578	-73.96672058105469	0026-01-04T23:26:20.000	0026-01-04T23:05:46.000	40.72453689575195	-73.95022583007812	3.5	4.24
207	40.68446350097656	-74.00142669677734	0014-01-12T02:17:45.000	0014-01-12T02:04:54.000	40.67703628540039	-73.96553039550781	0.0	2.26
209	40.71489334106445	-73.9461441040039	0014-01-10T16:46:34.000	0014-01-10T16:42:37.000	40.714107513427734	-73.95606994628906	0.0	0.6
210	40.693939208984375	-73.91389465332031	0005-01-07T18:16:00.000	0005-01-07T17:41:46.000	40.76499938964844	-73.93208312988281	0.0	6.8
211	40.680728912353516	-73.95352172851562	0001-01-06T01:34:12.000	0001-01-06T01:20:32.000	40.69256591796875	-73.92359924316406	3.0	2.71
212	40.68295669555664	-73.99775695800781	0009-01-08T22:22:29.000	0009-01-08T22:04:18.000	40.72994613647461	-73.95744323730469	5.6	6.7
215	40.71602249145508	-73.96427154541016	0023-01-02T04:02:34.000	0023-01-02T03:59:18.000	40.72172164916992	-73.95072937011719	0.0	0.92
217	40.726932525634766	-74.00093078613281	0031-01-07T17:26:00.000	0031-01-07T17:06:36.000	40.702938079833984	-73.99462127685547	0.0	3.01
220	40.706077575683594	-74.00712585449219	0027-01-05T08:22:23.000	0027-01-05T07:53:28.000	40.67170715332031	-73.9531021118164	4.5	5.11
224	40.6766471862793	-73.98100280761719	0018-01-01T18:21:43.000	0018-01-01T18:12:37.000	40.69021224975586	-73.99420928955078	0.0	1.6
226	40.67135238647461	-73.98039245605469	0005-01-12T20:37:57.000	0005-01-12T20:33:02.000	40.674407958984375	-73.97545623779297	0.0	0.63
232	40.70113754272461	-73.94267272949219	0007-01-02T23:29:56.000	0007-01-02T23:18:03.000	40.72008514404297	-73.95535278320312	2.1	1.98
235	40.578948974609375	-73.98422241210938	0020-01-10T18:59:03.000	0020-01-10T18:31:14.000	40.6946907043457	-73.99246978759766	7.3	12.4
240	40.688507080078125	-73.98650360107422	0011-01-02T19:27:01.000	0011-01-02T19:18:44.000	40.703407287597656	-73.9912338256836	0.0	1.4
241	40.69003677368164	-73.99114990234375	0009-01-12T11:00:24.000	0009-01-12T10:53:54.000	40.697425842285156	-73.99248504638672	0.0	0.6
243	40.66946792602539	-73.91453552246094	0007-01-03T18:22:10.000	0007-01-03T17:56:51.000	40.6845817565918	-73.97766876220703	0.0	4.4
245	40.69542694091797	-73.94892883300781	0006-01-09T03:26:38.000	0006-01-09T03:18:50.000	40.71099853515625	-73.9504623413086	1.6	1.41
246	40.71213150024414	-73.9463882446289	0028-01-08T23:15:24.000	0028-01-08T23:06:43.000	40.716758728027344	-73.96554565429688	1.0	1.46
253	40.725521087646484	-73.94551849365234	0021-01-11T18:45:16.000	0021-01-11T18:36:50.000	40.717979431152344	-73.95765686035156	0.0	0.82
254	40.594825744628906	-73.96956634521484	0010-01-10T15:10:12.000	0010-01-10T15:04:16.000	40.58561706542969	-73.9661865234375	0.0	1.0
264	40.72245407104492	-73.98739624023438	0030-01-01T19:12:30.000	0030-01-01T19:02:01.000	40.71662521362305	-73.95435333251953	2.3	2.54
269	40.6699333190918	-73.98604583740234	0026-01-12T18:36:57.000	0026-01-12T18:24:22.000	40.69574737548828	-73.98033905029297	0.0	2.24
270	40.695457458496094	-73.94847106933594	0016-01-03T00:25:34.000	0016-01-03T00:04:23.000	40.75827407836914	-73.928466796875	4.3	6.12
271	40.69632339477539	-73.97100830078125	0031-01-05T11:02:50.000	0031-01-05T10:57:11.000	40.69140625	-73.9873046875	0.0	1.18
273	40.68437957763672	-73.97750854492188	0003-01-08T15:04:04.000	0003-01-08T14:59:20.000	40.679195404052734	-73.96402740478516	1.65	0.87
280	40.6834716796875	-73.97911834716797	0026-01-02T20:36:35.000	0026-01-02T20:13:06.000	40.74504089355469	-73.90433502197266	5.4	8.38
284	40.69282150268555	-73.9909896850586	0015-01-09T16:57:41.000	0015-01-09T16:47:36.000	40.693702697753906	-73.98313903808594	0.1	1.1
285	40.70991134643555	-73.96222686767578	0015-01-04T21:29:31.000	0015-01-04T21:11:25.000	40.67317581176758	-73.98959350585938	4.8	4.0
288	40.69602966308594	-73.93001556396484	0025-01-05T02:04:17.000	0025-01-05T01:53:09.000	40.678558349609375	-73.95872497558594	2.4	2.93
296	40.726253509521484	-73.98619079589844	0020-01-05T15:58:58.000	0020-01-05T15:39:25.000	40.727657318115234	-73.95206451416016	2.0	3.53
297	40.73099899291992	-73.98575592041016	0002-01-08T12:50:02.000	0002-01-08T12:27:39.000	40.766719818115234	-73.92176818847656	3.9	5.45
301	40.71775817871094	-73.95774841308594	0029-01-11T18:39:22.000	0029-01-11T18:33:58.000	40.709476470947266	-73.96379089355469	1.25	0.68
302	40.684349060058594	-74.0000228881836	0014-01-12T23:47:38.000	0014-01-12T23:29:40.000	40.72191619873047	-73.9578857421875	4.2	6.51
303	40.72704315185547	-73.95296478271484	0013-01-12T23:23:12.000	0013-01-12T23:13:46.000	40.70806884765625	-73.94479370117188	1.7	1.42
305	40.69632339477539	-73.93058776855469	0009-01-11T00:39:46.000	0009-01-11T00:14:55.000	40.676151275634766	-74.00066375732422	0.0	7.14
312	40.70512771606445	-73.93934631347656	0009-01-11T02:20:21.000	0009-01-11T02:08:38.000	40.71052551269531	-73.9649658203125	2.0	1.91
316	40.73202896118164	-73.95750427246094	0008-01-08T02:28:56.000	0008-01-08T02:19:48.000	40.71388244628906	-73.95169830322266	0.0	1.9
319	40.69081497192383	-73.95677947998047	0027-01-07T02:27:11.000	0027-01-07T02:26:41.000	40.69081497192383	-73.95677947998047	0.0	0.5
320	40.66707229614258	-73.9947280883789	0003-01-08T02:50:58.000	0003-01-08T02:49:07.000	40.66763687133789	-73.98766326904297	0.0	0.42
329	40.713951110839844	-73.95999908447266	0028-01-01T18:22:21.000	0028-01-01T18:20:38.000	40.71059036254883	-73.96378326416016	1.0	0.37
330	40.714107513427734	-73.93955993652344	0005-01-09T00:23:21.000	0005-01-09T00:04:11.000	40.71392059326172	-73.93954467773438	0.0	2.83
332	40.657047271728516	-73.97846221923828	0028-01-03T12:48:04.000	0028-01-03T00:00:00.000	0.0	0.0	0.0	5.38
340	40.67213821411133	-73.96109008789062	0005-01-12T18:54:33.000	0005-01-12T18:49:19.000	40.67322540283203	-73.9570541381836	0.0	0.79
343	40.69810104370117	-73.94548034667969	0008-01-05T02:18:45.000	0008-01-05T02:16:00.000	40.700828552246094	-73.94208526611328	0.0	0.44
